,Make,Year,Engine Fuel Type,Engine HP,Engine Cylinders,Transmission Type,Driven_Wheels,Number of Doors,Vehicle Size,Vehicle Style,highway MPG,city mpg,Popularity,MSRP
0,BMW,2011,0,335.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,26,19,3916,46135
1,BMW,2011,0,300.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,28,19,3916,40650
2,BMW,2011,0,300.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,28,20,3916,36350
3,BMW,2011,0,230.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,28,18,3916,29450
4,BMW,2011,0,230.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,28,18,3916,34500
5,BMW,2012,0,230.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,28,18,3916,31200
6,BMW,2012,0,300.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,26,17,3916,44100
7,BMW,2012,0,300.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,28,20,3916,39300
8,BMW,2012,0,230.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,28,18,3916,36900
9,BMW,2013,0,230.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,27,18,3916,37200
10,BMW,2013,0,300.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,28,20,3916,39600
11,BMW,2013,0,230.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,28,19,3916,31500
12,BMW,2013,0,300.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,28,19,3916,44400
13,BMW,2013,0,230.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,28,19,3916,37200
14,BMW,2013,0,230.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,28,19,3916,31500
15,BMW,2013,0,320.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,25,18,3916,48250
16,BMW,2013,0,320.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,28,20,3916,43550
17,Audi,1992,0,172.0,6.0,MANUAL,front wheel drive,4.0,Midsize,Sedan,24,17,3105,2000
18,Audi,1992,0,172.0,6.0,MANUAL,front wheel drive,4.0,Midsize,Sedan,24,17,3105,2000
19,Audi,1992,0,172.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,Wagon,20,16,3105,2000
20,Audi,1992,0,172.0,6.0,MANUAL,front wheel drive,4.0,Midsize,Sedan,24,17,3105,2000
21,Audi,1992,0,172.0,6.0,MANUAL,all wheel drive,4.0,Midsize,Sedan,21,16,3105,2000
22,Audi,1993,0,172.0,6.0,MANUAL,front wheel drive,4.0,Midsize,Sedan,24,17,3105,2000
23,Audi,1993,0,172.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,Wagon,20,16,3105,2000
24,Audi,1993,0,172.0,6.0,MANUAL,front wheel drive,4.0,Midsize,Sedan,24,17,3105,2000
25,Audi,1993,0,172.0,6.0,MANUAL,front wheel drive,4.0,Midsize,Sedan,24,17,3105,2000
26,Audi,1993,0,172.0,6.0,MANUAL,all wheel drive,4.0,Midsize,Sedan,21,16,3105,2000
27,Audi,1994,0,172.0,6.0,AUTOMATIC,front wheel drive,4.0,Midsize,Wagon,21,16,3105,2000
28,Audi,1994,0,172.0,6.0,MANUAL,all wheel drive,4.0,Midsize,Sedan,22,16,3105,2000
29,Audi,1994,0,172.0,6.0,MANUAL,front wheel drive,4.0,Midsize,Sedan,22,17,3105,2000
30,Audi,1994,0,172.0,6.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,22,16,3105,2000
31,Audi,1994,0,172.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,Wagon,21,16,3105,2000
32,FIAT,2017,0,160.0,4.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,35,26,819,27495
33,FIAT,2017,0,160.0,4.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,35,26,819,24995
34,FIAT,2017,0,160.0,4.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,35,26,819,28195
35,Mercedes-Benz,1991,0,130.0,4.0,MANUAL,rear wheel drive,4.0,Compact,Sedan,26,18,617,2000
36,Mercedes-Benz,1991,0,158.0,6.0,MANUAL,rear wheel drive,4.0,Compact,Sedan,25,17,617,2000
37,Mercedes-Benz,1992,0,158.0,6.0,MANUAL,rear wheel drive,4.0,Compact,Sedan,25,17,617,2000
38,Mercedes-Benz,1992,0,130.0,4.0,MANUAL,rear wheel drive,4.0,Compact,Sedan,26,18,617,2000
39,Mercedes-Benz,1993,0,130.0,4.0,MANUAL,rear wheel drive,4.0,Compact,Sedan,26,18,617,2000
40,Mercedes-Benz,1993,0,158.0,6.0,MANUAL,rear wheel drive,4.0,Compact,Sedan,25,17,617,2000
41,BMW,2016,0,240.0,4.0,AUTOMATIC,rear wheel drive,2.0,Compact,Coupe,35,23,3916,32850
42,BMW,2016,0,240.0,4.0,AUTOMATIC,rear wheel drive,2.0,Compact,Convertible,34,23,3916,38650
43,BMW,2016,0,320.0,6.0,AUTOMATIC,rear wheel drive,2.0,Compact,Convertible,31,20,3916,48750
44,BMW,2016,0,240.0,4.0,AUTOMATIC,all wheel drive,2.0,Compact,Coupe,35,23,3916,34850
45,BMW,2016,0,240.0,4.0,AUTOMATIC,all wheel drive,2.0,Compact,Convertible,34,22,3916,40650
46,BMW,2016,0,320.0,6.0,AUTOMATIC,rear wheel drive,2.0,Compact,Coupe,31,20,3916,44150
47,BMW,2016,0,240.0,4.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,34,22,3916,32850
48,BMW,2016,0,320.0,6.0,AUTOMATIC,all wheel drive,2.0,Compact,Coupe,30,20,3916,46150
49,BMW,2016,0,320.0,6.0,AUTOMATIC,rear wheel drive,2.0,Compact,Convertible,30,20,3916,50750
50,BMW,2017,0,335.0,6.0,AUTOMATIC,all wheel drive,2.0,Compact,Coupe,31,21,3916,46450
51,BMW,2017,0,335.0,6.0,AUTOMATIC,rear wheel drive,2.0,Compact,Convertible,32,21,3916,49050
52,BMW,2017,0,335.0,6.0,AUTOMATIC,all wheel drive,2.0,Compact,Convertible,32,21,3916,51050
53,BMW,2017,0,335.0,6.0,AUTOMATIC,rear wheel drive,2.0,Compact,Coupe,32,21,3916,44450
54,BMW,2017,0,248.0,4.0,AUTOMATIC,rear wheel drive,2.0,Compact,Convertible,34,23,3916,38950
55,BMW,2017,0,248.0,4.0,AUTOMATIC,rear wheel drive,2.0,Compact,Coupe,35,24,3916,33150
56,BMW,2017,0,248.0,4.0,AUTOMATIC,all wheel drive,2.0,Compact,Coupe,33,24,3916,35150
57,BMW,2017,0,248.0,4.0,AUTOMATIC,all wheel drive,2.0,Compact,Convertible,33,23,3916,40950
58,Audi,1990,0,162.0,5.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,20,16,3105,2000
59,Audi,1990,0,162.0,5.0,MANUAL,all wheel drive,4.0,Midsize,Wagon,22,15,3105,2000
60,Audi,1990,0,162.0,5.0,MANUAL,all wheel drive,4.0,Midsize,Sedan,23,15,3105,2000
61,Audi,1991,0,217.0,5.0,MANUAL,all wheel drive,4.0,Midsize,Sedan,22,16,3105,2000
62,Audi,1991,0,217.0,5.0,MANUAL,all wheel drive,4.0,Midsize,Wagon,22,16,3105,2000
63,Audi,1991,0,162.0,5.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,20,16,3105,2000
64,Chrysler,2015,1,184.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,36,23,1013,25170
65,Chrysler,2015,1,184.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,36,23,1013,23950
66,Chrysler,2015,1,295.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,29,18,1013,29370
67,Chrysler,2015,1,184.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,36,23,1013,21995
68,Chrysler,2015,1,184.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,36,23,1013,26625
69,Chrysler,2015,1,295.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,29,18,1013,30825
70,Chrysler,2016,1,184.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,36,23,1013,21995
71,Chrysler,2016,1,184.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,36,23,1013,27795
72,Chrysler,2016,1,295.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,29,18,1013,31785
73,Chrysler,2016,1,295.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,29,18,1013,29905
74,Chrysler,2016,1,184.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,36,23,1013,22490
75,Chrysler,2016,1,184.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,36,23,1013,27570
76,Chrysler,2016,1,184.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,36,23,1013,25690
77,Chrysler,2016,1,184.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,36,23,1013,24490
78,Chrysler,2017,1,295.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,28,18,1013,29905
79,Chrysler,2017,1,295.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,28,18,1013,31785
80,Chrysler,2017,1,184.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,36,23,1013,26685
81,Chrysler,2017,1,184.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,36,23,1013,22490
82,Chrysler,2017,1,184.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,36,23,1013,25690
83,Chrysler,2017,1,295.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,28,18,1013,30900
84,Chrysler,2017,1,184.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,36,23,1013,27795
85,Chrysler,2017,1,184.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,36,23,1013,21995
86,Chrysler,2017,1,184.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,36,23,1013,24490
87,Nissan,1996,0,115.0,4.0,MANUAL,front wheel drive,2.0,Compact,Coupe,36,26,2009,2000
88,Nissan,1996,0,115.0,4.0,MANUAL,front wheel drive,2.0,Compact,Coupe,36,26,2009,2000
89,Nissan,1996,0,140.0,4.0,MANUAL,front wheel drive,2.0,Compact,Coupe,29,21,2009,2000
90,Nissan,1997,0,140.0,4.0,MANUAL,front wheel drive,2.0,Compact,Coupe,29,21,2009,2000
91,Nissan,1997,0,115.0,4.0,MANUAL,front wheel drive,2.0,Compact,Coupe,35,25,2009,2000
92,Nissan,1997,0,115.0,4.0,MANUAL,front wheel drive,2.0,Compact,Coupe,35,25,2009,2000
93,Nissan,1998,0,115.0,4.0,MANUAL,front wheel drive,2.0,Compact,Coupe,35,25,2009,2000
94,Nissan,1998,0,115.0,4.0,MANUAL,front wheel drive,2.0,Compact,Coupe,35,25,2009,2000
95,Nissan,1998,0,140.0,4.0,MANUAL,front wheel drive,2.0,Compact,Coupe,28,20,2009,2073
96,Nissan,1996,0,155.0,4.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,26,19,2009,3713
